"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 04 19:08:26 GMT 2023","Thu May 04 19:08:48 GMT 2023","22419","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP04. Carga del contenedor MPU3 en la portada","","CP04. Carga del contenedor MPU3 en la portada",""
"passed","Thu May 04 19:08:48 GMT 2023","Thu May 04 19:09:35 GMT 2023","47124","","02. Casos de prueba sobre la portada de Diario AS","","CP01. Reproducción de video en una noticia de la portada","","CP01. Reproducción de video en una noticia de la portada",""
"passed","Thu May 04 19:11:06 GMT 2023","Thu May 04 19:11:26 GMT 2023","20553","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el vartículo","","CP02. Carga de contenedor de tipo STICKY en el vartículo",""
"passed","Thu May 04 19:12:29 GMT 2023","Thu May 04 19:12:44 GMT 2023","15016","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP04. Carga del contenedor MPU3 en la portada","","CP04. Carga del contenedor MPU3 en la portada",""
"passed","Thu May 04 19:12:44 GMT 2023","Thu May 04 19:12:55 GMT 2023","10996","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el artículo","","CP05. Carga de contenedor de tipo BTN en el artículo",""
"failed","Thu May 04 19:06:21 GMT 2023","Thu May 04 19:06:57 GMT 2023","35760","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Thu May 04 19:13:58 GMT 2023","Thu May 04 19:14:18 GMT 2023","19439","","05. Casos de prueba sobre un artículo de Diario AS","","CP03. Acceder al login con Google desde los comentarios de la primera noticia","","CP03. Acceder al login con Google desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:14:37 GMT 2023","Thu May 04 19:15:06 GMT 2023","29533","","05. Casos de prueba sobre un artículo de Diario AS","","CP05. Acceder al registro con Facebook desde los comentarios de la primera noticia","","CP05. Acceder al registro con Facebook desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:12:12 GMT 2023","Thu May 04 19:12:28 GMT 2023","16061","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP04. Carga del contenedor MPU2 en la portada","","CP04. Carga del contenedor MPU2 en la portada",""
"failed","Thu May 04 19:12:55 GMT 2023","Thu May 04 19:13:11 GMT 2023","16603","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el artículo","","CP06. Carga de contenedor de tipo INTEXT en el artículo",""
"passed","Thu May 04 19:14:18 GMT 2023","Thu May 04 19:14:37 GMT 2023","18904","","05. Casos de prueba sobre un artículo de Diario AS","","CP04. Acceder al registro desde los comentarios de la primera noticia","","CP04. Acceder al registro desde los comentarios de la primera noticia",""
"failed","Thu May 04 19:17:22 GMT 2023","Thu May 04 19:17:39 GMT 2023","17262","","07. Casos de prueba sobre la parte de registro de Diario AS","","CP02. Crear registro con Facebook en la aplicación de AS","","CP02. Crear registro con Facebook en la aplicación de AS",""
"passed","Thu May 04 19:13:27 GMT 2023","Thu May 04 19:13:58 GMT 2023","30720","","05. Casos de prueba sobre un artículo de Diario AS","","CP02. Acceder al login con Facebook desde los comentarios de la primera noticia","","CP02. Acceder al login con Facebook desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:11:26 GMT 2023","Thu May 04 19:11:48 GMT 2023","22029","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el artículo","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el artículo",""
"passed","Thu May 04 19:07:51 GMT 2023","Thu May 04 19:08:03 GMT 2023","12404","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP04. Carga del contenedor MPU1 en la portada","","CP04. Carga del contenedor MPU1 en la portada",""
"passed","Thu May 04 19:09:50 GMT 2023","Thu May 04 19:10:06 GMT 2023","16078","","03. Casos de prueba sobre la cabecera de Diario AS","","CP01. Cambiar la edición y el contenido a Colombia","","CP01. Cambiar la edición y el contenido a Colombia",""
"failed","Thu May 04 19:16:28 GMT 2023","Thu May 04 19:17:21 GMT 2023","53705","","07. Casos de prueba sobre la parte de registro de Diario AS","","CP01. Crear registro en la aplicación de AS","","CP01. Crear registro en la aplicación de AS",""
"failed","Thu May 04 19:15:27 GMT 2023","Thu May 04 19:16:11 GMT 2023","44613","","06. Casos de prueba sobre la parte de login de Diario AS","","CP01. Hacer login con correo y contraseña en la aplicación","","CP01. Hacer login con correo y contraseña en la aplicación",""
"failed","Thu May 04 19:11:48 GMT 2023","Thu May 04 19:12:12 GMT 2023","24183","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP04. Carga del contenedor MPU1 en la portada","","CP04. Carga del contenedor MPU1 en la portada",""
"passed","Thu May 04 19:09:35 GMT 2023","Thu May 04 19:09:50 GMT 2023","14568","","02. Casos de prueba sobre la portada de Diario AS","","CP02. Acceso a primera noticia de la portada","","CP02. Acceso a primera noticia de la portada",""
"passed","Thu May 04 19:06:57 GMT 2023","Thu May 04 19:07:18 GMT 2023","21170","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP02. Carga del contenedor de tipo STICKY en la portada","","CP02. Carga del contenedor de tipo STICKY en la portada",""
"failed","Thu May 04 19:10:32 GMT 2023","Thu May 04 19:11:06 GMT 2023","33316","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"failed","Thu May 04 19:07:18 GMT 2023","Thu May 04 19:07:51 GMT 2023","32522","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP03. Carga del contenedor LDB1 en caso de no tener SKIN en la portada","","CP03. Carga del contenedor LDB1 en caso de no tener SKIN en la portada",""
"failed","Thu May 04 19:16:11 GMT 2023","Thu May 04 19:16:28 GMT 2023","16601","","06. Casos de prueba sobre la parte de login de Diario AS","","CP02. Hacer login con Facebook en la aplicación","","CP02. Hacer login con Facebook en la aplicación",""
"passed","Thu May 04 19:10:06 GMT 2023","Thu May 04 19:10:20 GMT 2023","13643","","03. Casos de prueba sobre la cabecera de Diario AS","","CP02. Visualizar el calendario de la Liga Santander","","CP02. Visualizar el calendario de la Liga Santander",""
"passed","Thu May 04 19:10:20 GMT 2023","Thu May 04 19:10:32 GMT 2023","12572","","03. Casos de prueba sobre la cabecera de Diario AS","","CP03. Visualizar la clasificación de la Liga Santander","","CP03. Visualizar la clasificación de la Liga Santander",""
"passed","Thu May 04 19:13:11 GMT 2023","Thu May 04 19:13:27 GMT 2023","16219","","05. Casos de prueba sobre un artículo de Diario AS","","CP01. Acceder al login desde los comentarios de la primera noticia","","CP01. Acceder al login desde los comentarios de la primera noticia",""
"passed","Thu May 04 19:15:06 GMT 2023","Thu May 04 19:15:26 GMT 2023","20355","","05. Casos de prueba sobre un artículo de Diario AS","","CP06. Acceder al registro con Google desde los comentarios de la primera noticia","","CP06. Acceder al registro con Google desde los comentarios de la primera noticia",""
"failed","Thu May 04 19:08:03 GMT 2023","Thu May 04 19:08:26 GMT 2023","22295","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP04. Carga del contenedor MPU2 en la portada","","CP04. Carga del contenedor MPU2 en la portada",""
