"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 19:27:24 GMT 2023","Thu May 04 19:28:08 GMT 2023","44287","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP02. Carga del contenedor de tipo MLDB1 en el artículo","","CP02. Carga del contenedor de tipo MLDB1 en el artículo",""
"passed","Thu May 04 19:28:48 GMT 2023","Thu May 04 19:29:29 GMT 2023","41690","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP03. Carga del contenedor MPU2 en la portada","","CP03. Carga del contenedor MPU2 en la portada",""
"failed","Thu May 04 19:20:58 GMT 2023","Thu May 04 19:21:49 GMT 2023","50301","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP03. Carga del contenedor MPU3 en la portada","","CP03. Carga del contenedor MPU3 en la portada",""
"passed","Thu May 04 19:29:29 GMT 2023","Thu May 04 19:30:09 GMT 2023","39157","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP03. Carga del contenedor MPU3 en la portada","","CP03. Carga del contenedor MPU3 en la portada",""
"failed","Thu May 04 19:42:49 GMT 2023","Thu May 04 19:44:03 GMT 2023","74501","","07. Casos de prueba sobre la parte de registro de Diario AS","","CP02. Crear registro con Facebook en la aplicación de AS","","CP02. Crear registro con Facebook en la aplicación de AS",""
"passed","Thu May 04 19:28:08 GMT 2023","Thu May 04 19:28:48 GMT 2023","39605","","04. Casos de prueba sobre la publicidad de un artículo de Diario AS","","CP03. Carga del contenedor MPU1 en la portada","","CP03. Carga del contenedor MPU1 en la portada",""
"failed","Thu May 04 19:19:15 GMT 2023","Thu May 04 19:20:07 GMT 2023","52485","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP03. Carga del contenedor MPU1 en la portada","","CP03. Carga del contenedor MPU1 en la portada",""
"passed","Thu May 04 19:35:57 GMT 2023","Thu May 04 19:37:24 GMT 2023","87596","","05. Casos de prueba sobre un artículo de Diario AS","","CP05. Acceder al registro con Facebook desde los comentarios de la primera noticia","","CP05. Acceder al registro con Facebook desde los comentarios de la primera noticia",""
"failed","Thu May 04 19:18:19 GMT 2023","Thu May 04 19:19:15 GMT 2023","55734","","01. Casos de prueba sobre la publicidad de la portada de Diario AS","","CP02. Carga del contenedor de tipo MLDB1 en la portada","","CP02. Carga del contenedor de tipo MLDB1 en la portada",""
"passed","Thu May 04 19:24:42 GMT 2023","Thu May 04 19:25:39 GMT 2023","57071","","03. Casos de prueba sobre la cabecera de Diario AS","","CP02. Visualizar el calendario de la Liga Santander","","CP02. Visualizar el calendario de la Liga Santander",""
