"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","06. Casos de prueba sobre el menú inferior de El País","CP03. Acceder a la página Caracol Radio del desplegable Webs de PRISA","1","0","0","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP04. Compartir un artículo con la opción de Facebook","0","0","1","0","0"
"","01. Casos de prueba sobre la cabecera de El País","CP01. Cambiar la edición a USA desde el menú hamburguesa","0","0","1","0","0"
"","02. Casos de prueba sobre la funcionalidad de suscribirse en El País","CP01. Comprobar la suscripción mensual y su oferta","1","0","0","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP07. Acceder a un tema dentro de la sección de archivado","0","0","1","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP05. Acceder a un artículo relacionado desde un enlace del artículo","0","0","1","0","0"
"","05. Casos de prueba sobre la portada de El País","CP02. Acceder a la primera noticia gratuita","0","0","1","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP01. Acceder a la pantalla de login desde los comentarios de la primera noticia","0","0","1","0","0"
"","04. Casos de prueba sobre una cuenta válida de El País","CP02. Comprobar la opción de desconectarse en el menú de usuario","0","0","1","0","0"
"","01. Casos de prueba sobre la cabecera de El País","CP04. Acceder a la web de cinco días desde el menú hamburguesa","0","0","1","0","0"
"","03. Casos de prueba sobre la parte de login de El País","CP02. Hacer login con Facebook en la aplicación","0","0","1","0","0"
"","05. Casos de prueba sobre la portada de El País","CP01. Acceder a la primera noticia premium","0","0","1","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP08. Acceder a otra noticia del autor del artículo","0","0","1","0","0"
"","04. Casos de prueba sobre una cuenta válida de El País","CP01. Comprobar la opción de mis datos en el menú de usuario","0","0","1","0","0"
"","08. Casos de prueba sobre la Hemeroteca de El País","CP01. Acceder en la hemeroteca a la edición del día indicado","0","0","1","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP02. Acceder a la pantalla de suscripción desde los comentarios de la primera noticia","1","0","0","0","0"
"","01. Casos de prueba sobre la cabecera de El País","CP03. Acceder a la sección Madrid desde el menú hamburguesa","0","0","1","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP06. Acceder a un artículo dentro de la sección de más información","0","0","1","0","0"
"","03. Casos de prueba sobre la parte de login de El País","CP01. Hacer login con correo y contraseña en la aplicación","0","0","1","0","0"
"","06. Casos de prueba sobre el menú inferior de El País","CP01. Acceder a la sección sorteos del menú de servicios","0","0","1","0","0"
"","01. Casos de prueba sobre la cabecera de El País","CP02. Acceder al apartado de suscripciones desde el menú hamburguesa","1","0","0","0","0"
"","05. Casos de prueba sobre la portada de El País","CP03. Reproducir primer video del carrusel de videos","0","0","1","0","0"
"","06. Casos de prueba sobre el menú inferior de El País","CP02. Acceder a la sección Aviso legal del último menú inferior","0","0","1","0","0"
"","07. Casos de prueba sobre el buscador de El País","CP01. Buscar la cadena de texto Felipe González en el buscador","0","0","1","0","0"
"","09. Casos de prueba sobre un artículo de El País","CP03. Acceder a los comentarios de la primera noticia con una sesión iniciada","0","0","1","0","0"
