"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 28 12:09:18 GMT 2023","Fri Apr 28 12:10:08 GMT 2023","49792","","06. Casos de prueba sobre el menú inferior de El País","","CP03. Acceder a la página Caracol Radio del desplegable Webs de PRISA","","CP03. Acceder a la página Caracol Radio del desplegable Webs de PRISA",""
"passed","Fri Apr 28 12:17:34 GMT 2023","Fri Apr 28 12:18:50 GMT 2023","76377","","09. Casos de prueba sobre un artículo de El País","","CP04. Compartir un artículo con la opción de Facebook","","CP04. Compartir un artículo con la opción de Facebook",""
"passed","Fri Apr 28 11:49:49 GMT 2023","Fri Apr 28 11:52:01 GMT 2023","131368","","01. Casos de prueba sobre la cabecera de El País","","CP01. Cambiar la edición a USA desde el menú hamburguesa","","CP01. Cambiar la edición a USA desde el menú hamburguesa",""
"failed","Fri Apr 28 11:55:30 GMT 2023","Fri Apr 28 11:56:50 GMT 2023","80015","","02. Casos de prueba sobre la funcionalidad de suscribirse en El País","","CP01. Comprobar la suscripción mensual y su oferta","","CP01. Comprobar la suscripción mensual y su oferta",""
"passed","Fri Apr 28 12:21:47 GMT 2023","Fri Apr 28 12:22:49 GMT 2023","62182","","09. Casos de prueba sobre un artículo de El País","","CP07. Acceder a un tema dentro de la sección de archivado","","CP07. Acceder a un tema dentro de la sección de archivado",""
"passed","Fri Apr 28 12:18:50 GMT 2023","Fri Apr 28 12:20:30 GMT 2023","99697","","09. Casos de prueba sobre un artículo de El País","","CP05. Acceder a un artículo relacionado desde un enlace del artículo","","CP05. Acceder a un artículo relacionado desde un enlace del artículo",""
"passed","Fri Apr 28 12:04:40 GMT 2023","Fri Apr 28 12:06:11 GMT 2023","91078","","05. Casos de prueba sobre la portada de El País","","CP02. Acceder a la primera noticia gratuita","","CP02. Acceder a la primera noticia gratuita",""
"passed","Fri Apr 28 12:13:15 GMT 2023","Fri Apr 28 12:14:22 GMT 2023","66875","","09. Casos de prueba sobre un artículo de El País","","CP01. Acceder a la pantalla de login desde los comentarios de la primera noticia","","CP01. Acceder a la pantalla de login desde los comentarios de la primera noticia",""
"passed","Fri Apr 28 12:02:06 GMT 2023","Fri Apr 28 12:03:46 GMT 2023","100392","","04. Casos de prueba sobre una cuenta válida de El País","","CP02. Comprobar la opción de desconectarse en el menú de usuario","","CP02. Comprobar la opción de desconectarse en el menú de usuario",""
"passed","Fri Apr 28 11:54:36 GMT 2023","Fri Apr 28 11:55:29 GMT 2023","53343","","01. Casos de prueba sobre la cabecera de El País","","CP04. Acceder a la web de cinco días desde el menú hamburguesa","","CP04. Acceder a la web de cinco días desde el menú hamburguesa",""
